Soldado                                  | Módulo          | Anémico | ORM | Event | Risk
SoldadoAuditorLocal                      | municipal       | False   | True | False | Bajo
SoldadoGestorEventos                     | municipal       | False   | False | False | Bajo
SoldadoInspectorRNT                      | municipal       | False   | False | False | Bajo
SoldadoRiesgos                           | sg_sst          | False   | True | False | Bajo
SoldadoIncidentes                        | sg_sst          | False   | True | False | Bajo
SoldadoCapacitacion                      | sg_sst          | False   | True | False | Bajo
SoldadoInspecciones                      | sg_sst          | False   | True | False | Bajo
SoldadoIndicadores                       | sg_sst          | False   | True | False | Bajo
SoldadoBuscadorServicios                 | clientes_turistas | False   | True | False | Bajo
SoldadoGestorReservas                    | clientes_turistas | False   | True | False | Bajo
SoldadoSoportePQRS                       | clientes_turistas | False   | False | False | Bajo
SoldadoRegistroIngreso                   | contable        | False   | False | False | Bajo
SoldadoRegistroGasto                     | contable        | False   | False | False | Bajo
SoldadoConciliacionWallet                | contable        | False   | True | False | Bajo
SoldadoVerificacionFiscal                | contable        | False   | True | False | Alto
SoldadoCierreParcial                     | contable        | False   | False | False | Bajo
